iter	Passed	Remaining
1352	34260	218956
1353	34282	218912
1354	34304	218865
1355	34329	218835
1356	34350	218783
1357	34372	218739
1358	34395	218700
1359	34421	218679
1360	34442	218626
1361	34464	218578
1362	34486	218534
1363	34509	218494
1364	34533	218457
1365	34555	218413
1366	34581	218389
1367	34601	218333
1368	34625	218300
1369	34646	218250
1370	34671	218221
1371	34693	218177
1372	34713	218118
1373	34736	218076
1374	34757	218022
1375	34781	217988
1376	34800	217926
1377	34818	217858
1378	34842	217824
1379	34868	217800
1380	34894	217778
1381	34917	217741
1382	34943	217717
1383	34965	217677
1384	34990	217645
1385	35012	217601
1386	35035	217560
1387	35056	217513
1388	35077	217459
1389	35099	217416
1390	35121	217368
1391	35143	217326
1392	35166	217286
1393	35193	217270
1394	35216	217229
1395	35238	217188
1396	35261	217144
1397	35284	217107
1398	35307	217069
1399	35330	217028
1400	35351	216976
1401	35374	216940
1402	35396	216892
1403	35420	216859
1404	35443	216824
1405	35466	216787
1406	35492	216762
1407	35517	216738
1408	35542	216713
1409	35567	216683
1410	35586	216619
1411	35610	216588
1412	35632	216542
1413	35653	216492
1414	35676	216454
1415	35697	216405
1416	35720	216364
1417	35742	216322
1418	35764	216277
1419	35787	216239
1420	35811	216207
1421	35837	216184
1422	35865	216174
1423	35888	216140
1424	35911	216098
1425	35937	216077
1426	35960	216041
1427	35983	216003
1428	36006	215965
1429	36025	215898
1430	36050	215872
1431	36072	215830
1432	36094	215787
1433	36118	215754
1434	36145	215742
1435	36170	215713
1436	36194	215679
1437	36215	215632
1438	36237	215587
1439	36264	215573
1440	36288	215541
1441	36310	215495
1442	36334	215462
1443	36357	215423
1444	36381	215393
1445	36404	215354
1446	36427	215315
1447	36449	215276
1448	36472	215235
1449	36493	215185
1450	36518	215158
1451	36543	215134
1452	36565	215087
1453	36589	215059
1454	36612	215020
1455	36636	214986
1456	36659	214951
1457	36684	214923
1458	36708	214892
1459	36731	214854
1460	36755	214824
1461	36780	214793
1462	36802	214754
1463	36825	214713
1464	36853	214703
1465	36875	214665
1466	36898	214625
1467	36918	214572
1468	36939	214523
1469	36964	214493
1470	36994	214499
1471	37020	214475
1472	37047	214464
1473	37077	214464
1474	37100	214428
1475	37124	214393
1476	37145	214348
1477	37167	214304
1478	37191	214270
1479	37213	214231
1480	37236	214192
1481	37258	214150
1482	37282	214115
1483	37305	214081
1484	37325	214025
1485	37351	214006
1486	37370	213946
1487	37393	213907
1488	37416	213868
1489	37442	213846
1490	37464	213807
1491	37484	213754
1492	37506	213708
1493	37525	213646
1494	37547	213606
1495	37572	213580
1496	37594	213538
1497	37616	213492
1498	37638	213453
1499	37662	213419
1500	37686	213391
1501	37714	213379
1502	37739	213354
1503	37764	213326
1504	37787	213294
1505	37810	213254
1506	37833	213220
1507	37859	213199
1508	37882	213163
1509	37907	213137
1510	37933	213113
1511	37956	213080
1512	37980	213046
1513	38002	213007
1514	38022	212953
1515	38044	212908
1516	38068	212875
1517	38094	212855
1518	38116	212817
1519	38139	212775
1520	38159	212726
1521	38180	212677
1522	38204	212644
1523	38228	212616
1524	38253	212587
1525	38276	212550
1526	38298	212511
1527	38319	212464
1528	38343	212432
1529	38364	212386
1530	38391	212369
1531	38413	212324
1532	38443	212331
1533	38467	212296
1534	38491	212266
1535	38516	212242
1536	38542	212219
1537	38568	212201
1538	38590	212159
1539	38617	212143
1540	38639	212106
1541	38663	212072
1542	38686	212036
1543	38709	211997
1544	38731	211958
1545	38755	211928
1546	38778	211889
1547	38801	211851
1548	38823	211812
1549	38846	211776
1550	38868	211732
1551	38889	211689
1552	38911	211648
1553	38936	211618
1554	38959	211585
1555	38983	211553
1556	39010	211541
1557	39034	211509
1558	39056	211464
1559	39082	211448
1560	39110	211436
1561	39133	211402
1562	39161	211389
1563	39185	211359
1564	39212	211348
1565	39236	211315
1566	39259	211280
1567	39284	211253
1568	39307	211216
1569	39333	211197
1570	39359	211177
1571	39380	211132
1572	39403	211093
1573	39427	211065
1574	39450	211028
1575	39473	210994
1576	39497	210962
1577	39520	210924
1578	39546	210904
1579	39570	210877
1580	39595	210851
1581	39618	210815
1582	39642	210785
1583	39664	210744
1584	39690	210724
1585	39712	210683
1586	39737	210657
1587	39764	210640
1588	39784	210588
1589	39807	210552
1590	39831	210521
1591	39850	210468
1592	39874	210438
1593	39897	210400
1594	39920	210362
1595	39941	210319
1596	39966	210295
1597	39990	210261
1598	40016	210240
1599	40040	210214
1600	40064	210183
1601	40091	210168
1602	40118	210151
1603	40145	210135
1604	40169	210109
1605	40193	210075
1606	40214	210029
1607	40240	210009
1608	40260	209962
1609	40284	209928
1610	40308	209898
1611	40331	209863
1612	40356	209836
1613	40379	209803
1614	40405	209781
1615	40426	209739
1616	40449	209702
1617	40473	209673
1618	40497	209639
1619	40519	209598
1620	40543	209570
1621	40565	209531
1622	40588	209497
1623	40612	209464
1624	40636	209432
1625	40655	209379
1626	40676	209332
1627	40696	209279
1628	40716	209229
1629	40739	209195
1630	40766	209180
1631	40791	209154
1632	40814	209119
1633	40841	209108
1634	40869	209098
1635	40898	209093
1636	40920	209052
1637	40947	209037
1638	40973	209017
1639	40996	208982
1640	41021	208957
1641	41046	208934
1642	41071	208906
1643	41099	208895
1644	41128	208890
1645	41154	208874
1646	41185	208877
1647	41211	208859
1648	41237	208835
1649	41263	208820
1650	41289	208800
1651	41312	208765
1652	41338	208743
1653	41359	208700
1654	41386	208682
1655	41412	208660
1656	41433	208616
1657	41458	208591
1658	41550	208905
1659	42013	211081
1660	42070	211213
1661	42132	211373
1662	42198	211550
1663	42266	211738
1664	42317	211842
